Zip,City,State,Lat,Long
00971,GUAYNABO,PR,18.35705079,-66.10642101
00976,TRUJILLO ALTO,PR,18.36302454,-66.0172233
00979,CAROLINA,PR,18.43908812,-66.01860382
00982,CAROLINA,PR,18.40958396,-65.99281208
00983,CAROLINA,PR,18.41633342,-65.9760569
00985,CAROLINA,PR,18.39856787,-65.95961329
00987,CAROLINA,PR,18.37400722,-65.96746421
01001,AGAWAM,MA,42.07018817,-72.62142905
01002,AMHERST,MA,42.37472323,-72.51071918
01003,AMHERST,MA,42.392512,-72.523668
01005,BARRE,MA,42.41265129,-72.11214961
01007,BELCHERTOWN,MA,42.27329748,-72.4094026
01008,BLANDFORD,MA,42.18853975,-72.95323445
01010,BRIMFIELD,MA,42.1334501,-72.2030125
01011,CHESTER,MA,42.29504819,-72.96592271
01012,CHESTERFIELD,MA,42.37647848,-72.8405442
01013,CHICOPEE,MA,42.16244168,-72.60793384
01020,CHICOPEE,MA,42.17581814,-72.5758054
01022,CHICOPEE,MA,42.19424506,-72.55978869
01026,CUMMINGTON,MA,42.46758876,-72.92011956
01027,EASTHAMPTON,MA,42.26645138,-72.67860734
01028,EAST LONGMEADOW,MA,42.06612847,-72.5040527
01030,FEEDING HILLS,MA,42.07084857,-72.67393885
01031,GILBERTVILLE,MA,42.33012111,-72.18145951
01032,GOSHEN,MA,42.45642169,-72.82322646
01033,GRANBY,MA,42.2563135,-72.51861394
01034,GRANVILLE,MA,42.06763097,-72.9256513
01035,HADLEY,MA,42.36103259,-72.56953589
01036,HAMPDEN,MA,42.0664947,-72.42971381
01038,HATFIELD,MA,42.37757714,-72.6098632
01039,HAYDENVILLE,MA,42.39206922,-72.68969971
01040,HOLYOKE,MA,42.20229603,-72.62683922
01050,HUNTINGTON,MA,42.2675713,-72.86300689
01053,LEEDS,MA,42.35210279,-72.69795443
01054,LEVERETT,MA,42.46981484,-72.49681503
01056,LUDLOW,MA,42.17340753,-72.46954771
01057,MONSON,MA,42.09861553,-72.32155595
01060,NORTHAMPTON,MA,42.32438196,-72.6364621
01062,FLORENCE,MA,42.32508784,-72.67840314
01068,OAKHAM,MA,42.34930315,-72.05376161
01069,PALMER,MA,42.17023257,-72.32463103
